pap_cw,pap_aw,
abandono,abandono,
abarká,abarca,check this
abarkando,abandono,check this
abatí,tabata,check this
abatuar,abattoir,check this
abatuarnan,baluartenan,check this
abeha,abeha,
abehanan,abehanan,
abemaria,Ave Maria,check this
abemarianan,lamariana,check this
aber,haber,check this
abertura,cobertura,check this
aberturanan,aventuranan,check this
abesedario,dromedario,check this
abesedarionan,dromedarionan,check this
abestrus,avestruz,check this
abestrusnan,avestruznan,check this
abiertamente,abiertamente,
ábil,bil,check this
abilidat,stabilidad,check this
abilidatnan,habilidadnan,check this
abilitá,rehabilita,check this
ábilmente,ilegalmente,check this
abismo,abismo,
abismonan,abismonan,
abitá,habita,check this
abitando,habitando,check this
abitante,habitante,check this
abitantenan,habitantenan,check this
abla,bala,check this
ablante,hablante,check this
ablantenan,hablantenan,check this
ablativo,apelativo,check this
ablativonan,acusativonan,check this
ablif,ablif,
abo,abo,
abogado,abogado,
abogadonan,abogadonan,
abogasia,abogacia,check this
abolí,aboli,check this
aboliendo,aboliendo,
abolishon,abolicion,check this
abominabel,abominabel,
aboná,abona,check this
abonado,abonado,
abonadonan,abonadonan,
abono,abono,
abortá,aborta,check this
abortando,abortando,
aborto,aborto,
abortonan,abortonan,
abou,abou,
abraiko,abraso,check this
abrakadabra,abracadabra,check this
abraso,abraso,
abrasonan,abrasonan,
abrenunsia,abrenuncia,check this
abreviá,abrevia,check this
abreviando,abreviando,
abreviashon,abreviacion,check this
abreviashon,abreviacion,check this
abreviashonnan,abreviacion,check this
abreviatura,abreviacion,check this
abreviaturanan,criaturanan,check this
abrumador,bromado,check this
abrupto,abrupto,
abundá,abundante,check this
abundansia,abundancia,check this
abundante,abundante,
abusá,abusa,check this
abusamentu,fabulosamente,check this
abusador,abusado,check this
abusadó,abusado,check this
abusando,abusando,
abuso,abuso,
abusu,abusa,check this
achin,nachi,check this
ada,fada,check this
adanan,aduana,check this
adaptabel,adaptabel,
adaptabilidat,aceptabilidad,check this
adaptá,adapta,check this
adaptando,adaptando,
adaptashon,adaptacion,check this
adaptashon,adaptacion,check this
adaptashonnan,adaptacionnan,check this
adekuá,adecua,check this
adekuadamente,adecuadamente,check this
adekuado,adecuado,check this
adelantá,adelanta,check this
adelantando,adelantando,
adelante,adelante,
adelanto,adelanto,
adelantonan,adelanto nan,check this
adelisia,dialisis,check this
adelisianan,analisis,check this
ademas,ademas,
aden,aden,
ader,ader,
adernan,ader nan,check this
adikshon,radiothon,check this
adikto,adicto,check this
adiktonan,candidatonan,check this
adishonal,adicional,check this
adishonalmente,tradicionalmente,check this
adjust,adjust,
adolesensia,adolescencia,check this
adolesente,adolescente,check this
adolesentenan,adolescente,check this
adopshon,adopcion,check this
adopshonnan,adopcionnan,check this
adoptá,adopta,check this
adoptando,adoptando,
adoptante,adoptante,
adoptantenan,adoptante nan,check this
adoptivo,adoptivo,
adorabel,adorabel,
adoradó,adorado,check this
adoradónan,ganadoranan,check this
adorá,adora,check this
adoradó,adorado,check this
adorashon,adoracion,check this
adorno,adorno,
adornonan,adornonan,
adrei,adresa,check this
adreinan,adrenalina,check this
adrès,adres,check this
adrèsnan,adresnan,check this
adulterio,adulterio,
adúltero,adulterio,check this
adultes,adulterio,check this
adulto,adulto,
adultonan,adultonan,
aéreo,aereo,check this
aerodinámika,aerodinamica,check this
aeroklup,aeropuerto,check this
aeroklupnan,aeroplanonan,check this
aerolínea,aerolinea,check this
aerolíneanan,aerolineanan,check this
aeronouta,aeronauta,check this
aeronoutanan,astronautanan,check this
aeronóutika,aeronautica,check this
aeronóutiko,aeronautico,check this
aeropuerto,aeropuerto,
aeropuertonan,aeropuertonan,
afabel,faborabel,check this
afabilidat,factibilidad,check this
afan,afan,
afdak,afdak,
afdaknan,afdak nan,check this
afekshon,afeccion,check this
afektá,afecta,check this
afektando,afectando,check this
afektashon,afectando,check this
afektivo,afectivo,check this
afekto,afectivo,check this
afektuosamente,respetuosamente,check this
afektuoso,mahestuoso,check this
aféresis,aferesis,check this
afèr,afro,check this
afèrnan,rafinando,check this
Afganistan,Africanista,check this
afgano,pagano,check this
afganonan,ganadonan,check this
afiho,afiho,
afihonan,afiho nan,check this
afiliado,afiliado,
afiliadonan,afiliado nan,check this
afiliá,afilia,check this
afiliando,afiliando,
afiliashon,afiliacion,check this
afirmá,afirma,check this
afirmando,afirmando,
afirmashon,afirmacion,check this
afirmativo,afirmativo,
afishon,afiho,check this
afishonado,pensionado,check this
afishonadonan,colonisadonan,check this
afisionado,pensionado,check this
afisionadonan,admisionnan,check this
afligí,afligi,check this
aflikshon,afliccion,check this
afó,afo,check this
afortunadamente,afortunadamente,
af,af,
afnan,afan,check this
Afrika,Africa,check this
afrikanchi,africanisa,check this
afrikanchinan,Afromericanonan,check this
afrikanisá,africanisa,check this
afrikanisashon,africanisacion,check this
afrikanismo,africanismo,check this
afrikanismonan,africanismo,check this
afrikanista,africanista,check this
afrikanistanan,africanista,check this
afrikano,Africano,check this
afrikanonan,Afroantianonan,check this
afro,afro,
afroamerikano,Afromericano,check this
afroamerikanonan,Afromericanonan,check this
afrodisiako,Afrobrasilero,check this
afrodisiakonan,Afroantianonan,check this
afrokaribense,Afrocaribense,check this
afrokaribensenan,Afrocaribensenan,check this
afsprak,afspraak,check this
afspraknan,afspraak,check this
ag,af,check this
agan,gana,check this
agannan,ganganan,check this
agasahá,bagas,check this
agasaho,desahoga,check this
agasahonan,pasaheronan,check this
agènda,agenda,check this
agèndanan,agendanan,check this
ageno,aheno,check this
agensia,agencia,check this
agensianan,agencianan,check this
agente,agente,
agentenan,agentenan,
agitadó,agitado,check this
agitadónan,gitananan,check this
agitá,agita,check this
agitadó,agitado,check this
agitando,agitando,
agitashon,agitacion,check this
aglomerá,aglomera,check this
aglomerashon,aglomeracion,check this
aglomerashon,aglomeracion,check this
aglomerashonnan,aglomeracion,check this
agogia,agogia,
agógiko,x,
agogo,agogo,
agogonan,agogo nan,check this
agonia,agonia,
agonisá,agonia,check this
agonisando,sintonisando,check this
agotá,agota,check this
agotamentu,mentamento,check this
agotador,agota dor,check this
agradabel,agradabel,
agradablemente,faborablemente,check this
agradá,agrada,check this
agradando,degradando,check this
agradesí,agradecido,check this
agradesido,agradecido,check this
agrado,agrado,
agrario,agrario,
agredí,agrega,check this
agrediendo,gradiciendo,check this
agredimentu,agresivamente,check this
agregado,agrega do,check this
agregadonan,agregando,check this
agregá,agrega,check this
agregando,agregando,
agregashon,agregacion,check this
agregashon,agregacion,check this
agregashonnan,congregacionnan,check this
agreshon,agresion,check this
agreshonnan,agresornan,check this
agresividat,agresividad,check this
agresividatnan,agresividad,check this
agresivo,agresivo,
agresor,agresor,
agresornan,agresornan,
agríkola,agricola,check this
agrikultor,agricultor,check this
agrikultornan,agricultornan,check this
agrikultura,agricultura,check this
agrupá,agrupa,check this
agrupando,agrupando,
agrupashon,agrupacion,check this
agrupashon,agrupacion,check this
agrupashonnan,agrupacion,check this
agt,agata,check this
agudisá,agudo,check this
agudisando,disgustando,check this
agudisante,aguardiente,check this
agudo,agudo,
águila,aguila,check this
águilanan,guillotinanan,check this
aguinaldo,aguinaldo,
aguinaldonan,aguinaldonan,
ahá,aha,check this
ahan,aha,check this
ahedres,adres,check this
aheno,aheno,
ahustá,ahusta,check this
ahustando,ahustando,
ahuste,ahusta,check this
ahustenan,ahustando,check this
ai,si,check this
aichi,ahichi,check this
aichinan,China,check this
aids,AIDS,check this
ainda,ainda,
aira,aira,
airamentu,mentira,check this
airando,arando,check this
aire,aire,
airopuerto,aeropuerto,check this
airopuertonan,aeropuertonan,check this
ais,as,check this
aislá,aisla,check this
aisla,aisla,
aislamentu,aislamento,check this
akabá,acaba,check this
akabado,acabado,check this
akademia,academia,check this
akademianan,panaderianan,check this
akadémiko,academico,check this
akadémikonan,x,
akapará,aparta,check this
akaso,acaso,check this
aki,aki,
akí,aki,check this
aklamá,alameda,check this
aklamando,flamando,check this
aklamashon,sclamacion,check this
aklará,aclara,check this
aklarando,aclarando,check this
aklarashon,aclaracion,check this
aklarashon,aclaracion,check this
aklarashonnan,declaracionnan,check this
aklarativo,aclarativo,check this
aklaratorio,aclaratorio,check this
aklaratorionan,aclaratorio,check this
aklimatisá,aclimatisa,check this
aklimatisando,aclimatisando,check this
aklimatisashon,aclimatisacion,check this
akné,akiden,check this
akohé,akifo,check this
akohida,complehidad,check this
akohidanan,likidando,check this
akolada,balada,check this
akoladanan,controladonan,check this
akomodá,acomoda,check this
akomodando,acomodando,check this
akomodashon,acomodacion,check this
akontesé,contesta,check this
akontesimentu,acontecimento,check this
akontesimentunan,espontaneamente,check this
